,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,year,Ladder_score,Country_name,RI_Central and Eastern Europe,RI_Commonwealth of Independent States,RI_East Asia,RI_Latin America and Caribbean,RI_Middle East and North Africa,RI_North America and ANZ,RI_South Asia,RI_Southeast Asia,RI_Sub-Saharan Africa,RI_Western Europe
0,9.565,0.796,64.6,0.703,-0.05499528301886793,0.945,2005,5.491,81,0,0,0,0,1,0,0,0,0,0
1,9.246,0.92,63.5,0.6810393013100436,-0.05499528301886793,0.67,2005,6.295,73,0,0,0,0,1,0,0,0,0,0
2,8.218,0.591,54.2,0.63,0.08234065934065934,0.844,2005,5.225,113,0,0,0,0,0,0,1,0,0,0
3,10.814,0.947,70.4,0.901,0.06756826568265682,0.571,2005,7.464,104,0,0,0,0,0,0,0,0,0,1
4,9.809,0.82,62.6,0.623,-0.05499528301886793,0.877,2005,4.719,152,0,0,0,0,1,0,0,0,0,0
5,9.438,0.883,63.3,0.882,-0.03160797342192691,0.745,2005,6.637,19,0,0,0,1,0,0,0,0,0,0
6,10.663,0.979,69.9,0.922,0.06756826568265682,0.398,2005,6.984,157,0,0,0,0,0,0,0,0,0,1
7,10.529,0.928,73.2,0.868,-0.0252125,0.699,2005,6.516,72,0,0,1,0,0,0,0,0,0,0
8,10.703,0.928,71.9,0.802,0.06756826568265682,0.944,2005,6.854,69,0,0,0,0,0,0,0,0,0,1
9,10.652,0.962,71.3,0.957,0.256,0.503,2005,7.418,25,0,0,0,0,0,1,0,0,0,0
10,9.393,0.766,62.0,0.651,-0.05499528301886793,0.636,2005,5.308,65,0,0,0,0,1,0,0,0,0,0
11,9.849,0.922,66.3,0.782,-0.09124894514767933,0.983,2005,5.587,119,1,0,0,0,0,0,0,0,0,0
12,10.745,0.935,69.9,0.924,0.06756826568265682,0.598,2005,7.262,12,0,0,0,0,0,0,0,0,0,1
13,9.788,0.903,66.2,0.814,-0.03160797342192691,0.764,2005,6.581,95,0,0,0,1,0,0,0,0,0,0
14,9.724,0.838,64.0,0.8,-0.09124894514767933,0.957,2005,5.049,122,1,0,0,0,0,0,0,0,0,0
15,10.642,0.94,71.3,0.895,0.06756826568265682,0.688,2005,7.093,48,0,0,0,0,0,0,0,0,0,1
16,10.689,0.963,70.2,0.847,0.06756826568265682,0.781,2005,6.62,52,0,0,0,0,0,0,0,0,0,1
17,9.313,0.955,65.4,0.838,-0.03160797342192691,0.72,2005,7.17,161,0,0,0,1,0,0,0,0,0,0
18,9.036,0.848,59.7,0.817,-0.05499528301886793,0.762412429378531,2005,5.168,43,0,0,0,0,1,0,0,0,0,0
19,10.851,0.972,69.6,0.971,0.06756826568265682,0.237,2005,8.019,39,0,0,0,0,0,0,0,0,0,1
20,10.324,0.919,67.0,0.865,-0.09124894514767933,0.901,2005,6.439,38,1,0,0,0,0,0,0,0,0,0
21,10.462,0.837,70.5,0.734,0.06756826568265682,0.861,2005,6.006,54,0,0,0,0,0,0,0,0,0,1
22,10.108,0.93,64.6,0.697,-0.09124894514767933,0.903,2005,5.194,61,1,0,0,0,0,0,0,0,0,0
23,10.739,0.951,71.2,0.964,0.06756826568265682,0.5650104895104895,2005,7.376,142,0,0,0,0,0,0,0,0,0,1
24,10.659,0.968,71.4,0.935,0.22540000000000002,0.39,2005,7.341,6,0,0,0,0,0,1,0,0,0,0
25,10.699,0.868,63.5,0.6810393013100436,-0.05499528301886793,0.505,2005,7.08,125,0,0,0,0,1,0,0,0,0,0
26,10.546,0.961,71.5,0.916,0.06756826568265682,0.777,2005,7.153,137,0,0,0,0,0,0,0,0,0,1
27,7.783,0.672,59.02,0.612,0.068,0.786,2006,4.319,10,0,0,0,0,0,0,1,0,0,0
28,9.85,0.836,68.66,0.744,0.168,0.634,2006,6.063,28,0,0,0,1,0,0,0,0,0,0
29,10.972,0.967,70.14,0.943,0.242,0.473,2006,7.144,67,0,0,0,0,0,0,0,0,0,1
30,8.989,0.875,65.34,0.668,-0.071,0.895,2006,4.811,117,0,0,0,1,0,0,0,0,0,0
31,9.088,0.895,63.62,0.691,0.066,0.841,2006,4.73,116,0,0,0,1,0,0,0,0,0,0
